,tweet_id,rating_numerator,rating_denominator,name,date,time,stage
0,892420643555336193,13,10,Phineas,2017-08-01 00:00:00,2018-10-15 16:23:00,None 
1,892177421306343426,13,10,Tilly,2017-08-01 00:00:00,2018-10-15 00:17:00,None 
2,891815181378084864,12,10,Archie,2017-07-31 00:00:00,2018-10-15 00:18:00,None 
3,891689557279858688,13,10,Darla,2017-07-30 00:00:00,2018-10-15 15:58:00,None 
4,891327558926688256,12,10,Franklin,2017-07-29 00:00:00,2018-10-15 16:00:00,None 
5,891087950875897856,13,10,None,2017-07-29 00:00:00,2018-10-15 00:08:00,None 
6,890971913173991426,13,10,Jax,2017-07-28 00:00:00,2018-10-15 16:27:00,None 
7,890729181411237888,13,10,None,2017-07-28 00:00:00,2018-10-15 00:22:00,None 
8,890609185150312448,13,10,Zoey,2017-07-27 00:00:00,2018-10-15 16:25:00,None 
9,890240255349198849,14,10,Cassie,2017-07-26 00:00:00,2018-10-15 15:59:00,doggo
10,890006608113172480,13,10,Koda,2017-07-26 00:00:00,2018-10-15 00:31:00,None 
11,889880896479866881,13,10,Bruno,2017-07-25 00:00:00,2018-10-15 16:11:00,None 
12,889665388333682689,13,10,None,2017-07-25 00:00:00,2018-10-15 01:55:00,puppo
13,889638837579907072,12,10,Ted,2017-07-25 00:00:00,2018-10-15 00:10:00,None 
14,889531135344209921,13,10,Stuart,2017-07-24 00:00:00,2018-10-15 17:02:00,puppo
15,889278841981685760,13,10,Oliver,2017-07-24 00:00:00,2018-10-15 00:19:00,None 
16,888917238123831296,12,10,Jim,2017-07-23 00:00:00,2018-10-15 00:22:00,None 
17,888804989199671297,13,10,Zeke,2017-07-22 00:00:00,2018-10-15 16:56:00,None 
18,888554962724278272,13,10,Ralphus,2017-07-22 00:00:00,2018-10-15 00:23:00,None 
20,888078434458587136,12,10,Gerald,2017-07-20 00:00:00,2018-10-15 16:49:00,None 
21,887705289381826560,13,10,Jeffrey,2017-07-19 00:00:00,2018-10-15 16:06:00,None 
22,887517139158093824,14,10,None,2017-07-19 00:00:00,2018-10-15 03:39:00,None 
23,887473957103951883,13,10,Canela,2017-07-19 00:00:00,2018-10-15 00:47:00,None 
24,887343217045368832,13,10,None,2017-07-18 00:00:00,2018-10-15 16:08:00,None 
25,887101392804085760,12,10,None,2017-07-18 00:00:00,2018-10-15 00:07:00,None 
26,886983233522544640,13,10,Maya,2017-07-17 00:00:00,2018-10-15 16:17:00,None 
27,886736880519319552,13,10,Mingus,2017-07-16 00:00:00,2018-10-15 23:58:00,None 
28,886680336477933568,13,10,Derek,2017-07-16 00:00:00,2018-10-15 20:14:00,None 
29,886366144734445568,12,10,Roscoe,2017-07-15 00:00:00,2018-10-15 23:25:00,pupper
30,886267009285017600,12,10,None,2017-07-15 00:00:00,2018-10-15 16:51:00,None 
31,886258384151887873,13,10,Waffles,2017-07-15 00:00:00,2018-10-15 16:17:00,None 
33,885984800019947520,12,10,Jimbo,2017-07-14 00:00:00,2018-10-15 22:10:00,None 
34,885528943205470208,13,10,Maisey,2017-07-13 00:00:00,2018-10-15 15:58:00,None 
35,885518971528720385,14,10,None,2017-07-13 00:00:00,2018-10-15 15:19:00,None 
37,885167619883638784,13,10,None,2017-07-12 00:00:00,2018-10-15 16:03:00,None 
38,884925521741709313,12,10,Earl,2017-07-12 00:00:00,2018-10-15 00:01:00,None 
39,884876753390489601,13,10,Lola,2017-07-11 00:00:00,2018-10-15 20:47:00,None 
40,884562892145688576,13,10,Kevin,2017-07-11 00:00:00,2018-10-15 00:00:00,None 
41,884441805382717440,14,10,None,2017-07-10 00:00:00,2018-10-15 15:58:00,None 
